Source Station,Target Station,Weight
Debden,Theydon Bois,74
Barons Court,Earls Court,187
Hanger Lane,North Acton,2
Hillingdon,Uxbridge,0
Borough,Elephant and Castle,103
Manor House,Turnpike Lane,0
Hanger Lane,Perivale,0
Ickenham,Ruislip,0
Stamford Brook,Turnham Green,2
Ladbroke Grove,Latimer Road,0
Oval,Stockwell,1
Brent Cross,Hendon Central,53
Notting Hill Gate,Queensway,0
Gloucester Road,South Kensington,58
Holborn,Tottenham Court Road,0
Balham,Tooting Bec,131
Monument,Waterloo,39
Knightsbridge,South Kensington,0
Finchley Central,Mill Hill East,74
Stepney Green,Whitechapel,0
Fulham Broadway,Parsons Green,44
Finsbury Park,Manor House,205
Clapham Common,Clapham South,114
Camden Town,Chalk Farm,72
Finchley Road,Wembley Park,40
Cockfosters,Oakwood,75
London Bridge,Southwark,1
Turnpike Lane,Wood Green,1
Leyton,Leytonstone,3
Blackfriars,Mansion House,69
East Acton,White City,65
Northwick Park,Preston Road,0
Finchley Central,West Finchley,145
Paddington,Warwick Avenue,4
Boston Manor,Osterley,38
Finchley Road,Swiss Cottage,27
Sudbury Hill,Sudbury Town,0
Caledonian Road,Holloway Road,18
Monument,Moorgate,22
Oxford Circus,Piccadilly Circus,0
Clapham North,Stockwell,64
Chalfont and Latimer,Chesham,67
Archway,Highgate,104
Heathrow Terminal 4,Heathrow Terminals 1 2 3,2
Gunnersbury,Kew Gardens,0
Heathrow Terminal 5,Heathrow Terminals 1 2 3,1
Gants Hill,Redbridge,178
Monument,London Bridge,21
Chorleywood,Rickmansworth,24
Earls Court,West Kensington,102
North Wembley,South Kenton,1
Earls Court,Gloucester Road,172
Amersham,Chalfont and Latimer,62
Becontree,Dagenham Heathway,301
Totteridge and Whetstone,Woodside Park,2
Monument,Liverpool Street,47
Holland Park,Shepherds Bush,0
Bond Street,Marble Arch,23
Moor Park,Rickmansworth,0
Baker Street,Great Portland Street,44
Blackhorse Road,Walthamstow Central,312
North Acton,West Acton,0
Canning Town,West Ham,477
Acton Town,South Ealing,61
Tooting Bec,Tooting Broadway,0
Green Park,Hyde Park Corner,10
Becontree,Upney,128
Bow Road,Mile End,72
Oxford Circus,Tottenham Court Road,0
Chancery Lane,Holborn,13
Highbury and Islington,Kings Cross St. Pancras,1
Fulham Broadway,West Brompton,32
Green Park,Oxford Circus,16
Embankment,Westminster,26
Blackhorse Road,Tottenham Hale,405
Finsbury Park,Highbury and Islington,131
Barking,East Ham,1114
Croxley,Watford,14
Embankment,Temple,26
Aldgate East,Tower Hill,32
Barons Court,West Kensington,28
Harrow-on-the-Hill,Northwick Park,0
Golders Green,Hampstead,96
Moor Park,Northwood,0
Shepherds Bush,White City,1
Bromley-by-Bow,West Ham,37
Upminster,Upminster Bridge,0
Embankment,Waterloo,49
Charing Cross,Embankment,64
Leicester Square,Piccadilly Circus,2
Battersea Power Station,Nine Elms,54
Southwark,Waterloo,2
Green Park,Piccadilly Circus,13
Goodge Street,Tottenham Court Road,5
Green Park,Westminster,6
Greenford,Perivale,2
East Putney,Southfields,93
Euston,Kings Cross St. Pancras,143
Bounds Green,Wood Green,124
St. Johns Wood,Swiss Cottage,0
Goodge Street,Warren Street,9
Kennington,Nine Elms,0
West Finchley,Woodside Park,2
Euston,Warren Street,70
Baker Street,St. Johns Wood,20
Charing Cross,Piccadilly Circus,52
Shepherds Bush Market,Wood Lane,0
Hyde Park Corner,Knightsbridge,0
Goldhawk Road,Shepherds Bush Market,63
Barbican,Farringdon,59
Northfields,South Ealing,0
Canada Water,Canary Wharf,430
Holland Park,Notting Hill Gate,0
South Harrow,Sudbury Hill,1
Earls Court,Kensington (Olympia),43
East Finchley,Finchley Central,228
East Finchley,Highgate,76
Liverpool Street,Moorgate,4
Bayswater,Notting Hill Gate,19
Leicester Square,Tottenham Court Road,0
Acton Town,Chiswick Park,114
Dollis Hill,Willesden Green,63
Ruislip Gardens,West Ruislip,0
Rayners Lane,West Harrow,0
Kingsbury,Wembley Park,1
Baker Street,Regents Park,18
Chancery Lane,St. Pauls,4
Northolt,South Ruislip,2
Seven Sisters,Tottenham Hale,2
Green Park,Victoria,25
Harrow-on-the-Hill,West Harrow,0
Acton Town,Turnham Green,150
Chiswick Park,Turnham Green,21
Monument,St. Pauls,14
St. Jamess Park,Victoria,6
Grange Hill,Hainault,28
Eastcote,Rayners Lane,39
Hounslow East,Osterley,0
Brent Cross,Golders Green,146
Buckhurst Hill,Woodford,36
Neasden,Wembley Park,0
Stonebridge Park,Wembley Central,2
Burnt Oak,Edgware,372
Oakwood,Southgate,1
Earls Court,West Brompton,70
Barking,Upney,648
Southfields,Wimbledon Park,0
Dagenham East,Elm Park,186
Pimlico,Victoria,0
Caledonian Road,Kings Cross St. Pancras,52
Canons Park,Stanmore,53
North Harrow,Pinner,0
Ravenscourt Park,Stamford Brook,0
Hounslow Central,Hounslow West,0
Covent Garden,Holborn,21
Barkingside,Newbury Park,57
Boston Manor,Northfields,13
Belsize Park,Chalk Farm,40
Hatton Cross,Heathrow Terminals 1 2 3,5
Bethnal Green,Mile End,113
Snaresbrook,South Woodford,0
Aldgate,Liverpool Street,40
Finsbury Park,Seven Sisters,240
Harrow and Wealdstone,Kenton,1
Arnos Grove,Southgate,143
Monument,Tower Hill,25
Parsons Green,Putney Bridge,0
North Wembley,Wembley Central,0
Leytonstone,Wanstead,1
Waterloo,Westminster,1
Finchley Road,West Hampstead,29
Angel,Kings Cross St. Pancras,77
Bond Street,Green Park,37
Colliers Wood,South Wimbledon,242
Morden,South Wimbledon,4
Elephant and Castle,Lambeth North,64
Royal Oak,Westbourne Park,0
Ruislip Gardens,South Ruislip,0
Ealing Broadway,West Acton,182
North Ealing,Park Royal,0
Harlesden,Stonebridge Park,1
Arsenal,Finsbury Park,215
Ealing Broadway,Ealing Common,257
Holborn,Russell Square,0
Hillingdon,Ickenham,0
Kingsbury,Queensbury,1
Canary Wharf,North Greenwich,273
Brixton,Stockwell,726
Harlesden,Willesden Junction,3
Covent Garden,Leicester Square,2
Camden Town,Mornington Crescent,41
East Acton,North Acton,70
Archway,Tufnell Park,137
Gloucester Road,High Street Kensington,40
Baker Street,Finchley Road,73
Hounslow Central,Hounslow East,3
Clapham Common,Clapham North,89
Fairlop,Hainault,33
Kings Cross St. Pancras,Russell Square,1
Euston Square,Kings Cross St. Pancras,38
Wimbledon,Wimbledon Park,1
Blackfriars,Temple,40
Hatton Cross,Hounslow West,0
Angel,Old Street,29
High Barnet,Totteridge and Whetstone,0
Bow Road,Bromley-by-Bow,69
St. Jamess Park,Westminster,0
Croxley,Moor Park,9
Barkingside,Fairlop,75
Monument,Cannon Street,42
Bermondsey,Canada Water,170
Baker Street,Bond Street,56
Aldgate East,Whitechapel,32
Roding Valley,Woodford,2
Oxford Circus,Regents Park,0
Chalfont and Latimer,Chorleywood,40
Euston Square,Great Portland Street,27
Balham,Clapham South,184
Borough,London Bridge,23
Aldgate,Tower Hill,32
Kennington,Waterloo,2
Cannon Street,Mansion House,29
Arsenal,Holloway Road,9
Lancaster Gate,Queensway,0
Pimlico,Vauxhall,0
Ruislip,Ruislip Manor,1
Camden Town,Euston,221
Alperton,Sudbury Town,94
Sloane Square,South Kensington,0
Lambeth North,Waterloo,0
Alperton,Park Royal,76
Bayswater,Paddington,35
Buckhurst Hill,Loughton,22
Oxford Circus,Warren Street,0
Camden Town,Kentish Town,26
East Ham,Upton Park,467
Arnos Grove,Bounds Green,300
Chigwell,Grange Hill,42
Epping,Theydon Bois,164
Farringdon,Kings Cross St. Pancras,107
High Street Kensington,Notting Hill Gate,0
Kensal Green,Willesden Junction,0
Kilburn Park,Queens Park,1
Kilburn,West Hampstead,0
Stratford,West Ham,6
Kennington,Oval,0
Ladbroke Grove,Westbourne Park,0
Kew Gardens,Richmond,2
Elephant and Castle,Kennington,138
Chigwell,Roding Valley,29
Bond Street,Oxford Circus,40
Eastcote,Ruislip Manor,33
Rayners Lane,South Harrow,0
Harrow-on-the-Hill,North Harrow,0
Lancaster Gate,Marble Arch,0
East Putney,Putney Bridge,79
Debden,Loughton,47
Latimer Road,Wood Lane,0
Maida Vale,Warwick Avenue,0
Edgware Road (Bakerloo),Marylebone,9
Kilburn,Willesden Green,1
Greenford,Northolt,3
Leytonstone,Snaresbrook,1
Preston Road,Wembley Park,1
Northwood Hills,Pinner,0
Stockwell,Vauxhall,0
Aldgate East,Liverpool Street,62
Plaistow,Upton Park,1
Gunnersbury,Turnham Green,0
Kilburn Park,Maida Vale,0
Kentish Town,Tufnell Park,0
Dollis Hill,Neasden,56
Paddington,Royal Oak,1
Canons Park,Queensbury,80
Redbridge,Wanstead,0
Hornchurch,Upminster Bridge,1
