Source Station,Target Station,Weight
Oxford Circus,Piccadilly Circus,65
Golders Green,Hampstead,224
Liverpool Street,Moorgate,7
Clapham North,Stockwell,297
Lancaster Gate,Marble Arch,2
Plaistow,West Ham,4
North Harrow,Pinner,1
St. Jamess Park,Victoria,8
Caledonian Road,Kings Cross St. Pancras,198
Debden,Loughton,64
Hillingdon,Uxbridge,1
Finchley Central,Mill Hill East,159
Arsenal,Holloway Road,56
Baker Street,St. Johns Wood,338
Blackfriars,Mansion House,320
Harrow-on-the-Hill,West Harrow,0
Charing Cross,Piccadilly Circus,541
Acton Town,South Ealing,100
Harrow-on-the-Hill,Northwick Park,3
East Putney,Southfields,352
Barking,Upney,508
Balham,Tooting Bec,446
Baker Street,Marylebone,301
Croxley,Watford,22
Euston,Mornington Crescent,470
Waterloo,Westminster,38
Clapham Common,Clapham South,595
Finsbury Park,Highbury and Islington,511
Kilburn,West Hampstead,3
London Bridge,Southwark,9
East Acton,North Acton,105
Monument,London Bridge,350
Harrow and Wealdstone,Kenton,1
Earls Court,Kensington (Olympia),204
Ruislip Gardens,West Ruislip,2
Ealing Broadway,West Acton,332
Barkingside,Newbury Park,36
Camden Town,Kentish Town,714
Seven Sisters,Tottenham Hale,1
Paddington,Royal Oak,3
Embankment,Temple,316
West Finchley,Woodside Park,3
Camden Town,Mornington Crescent,685
Grange Hill,Hainault,18
Elephant and Castle,Kennington,501
Bow Road,Mile End,140
Eastcote,Rayners Lane,56
Redbridge,Wanstead,0
Baker Street,Finchley Road,746
Stonebridge Park,Wembley Central,3
Alperton,Sudbury Town,98
Baker Street,Bond Street,1415
Manor House,Turnpike Lane,1
Green Park,Westminster,232
Hatton Cross,Heathrow Terminals 1 2 3,6
Ealing Broadway,Ealing Common,515
Canary Wharf,North Greenwich,1301
Greenford,Northolt,2
Lambeth North,Waterloo,4
Totteridge and Whetstone,Woodside Park,1
Bond Street,Green Park,1225
Kilburn,Willesden Green,1
Leicester Square,Piccadilly Circus,25
Mile End,Stepney Green,2
Sloane Square,South Kensington,3
Leytonstone,Wanstead,2
Brent Cross,Hendon Central,166
Dagenham East,Dagenham Heathway,171
Greenford,Perivale,3
