Source Station,Target Station,Weight
Battersea Power Station,Nine Elms,1
Neasden,Wembley Park,0
Knightsbridge,South Kensington,0
Northwood,Northwood Hills,0
Monument,Moorgate,5
Maida Vale,Warwick Avenue,0
Lambeth North,Waterloo,2
Earls Court,West Kensington,12
Charing Cross,Piccadilly Circus,3
Hornchurch,Upminster Bridge,0
Canons Park,Queensbury,8
Canada Water,Canary Wharf,24
Earls Court,West Brompton,13
East Acton,White City,7
Angel,Kings Cross St. Pancras,5
Colliers Wood,South Wimbledon,22
Green Park,Westminster,5
Debden,Theydon Bois,3
Dagenham East,Dagenham Heathway,26
Southwark,Waterloo,0
Chiswick Park,Turnham Green,2
Ealing Broadway,Ealing Common,15
Aldgate,Tower Hill,5
Gunnersbury,Kew Gardens,0
Embankment,Temple,1
West Finchley,Woodside Park,0
Shepherds Bush Market,Wood Lane,2
Hounslow East,Osterley,0
Stamford Brook,Turnham Green,0
Cannon Street,Mansion House,0
Acton Town,Chiswick Park,8
Goodge Street,Tottenham Court Road,0
Heathrow Terminal 5,Heathrow Terminals 1 2 3,1
Kilburn Park,Queens Park,0
Notting Hill Gate,Queensway,0
Becontree,Upney,6
Earls Court,High Street Kensington,8
Belsize Park,Hampstead,3
Totteridge and Whetstone,Woodside Park,4
Northwood Hills,Pinner,1
Kilburn Park,Maida Vale,1
Harrow and Wealdstone,Kenton,5
Rayners Lane,West Harrow,2
Goldhawk Road,Shepherds Bush Market,3
Leytonstone,Wanstead,0
Ickenham,Ruislip,0
Hounslow Central,Hounslow West,2
Arnos Grove,Southgate,19
Sudbury Hill,Sudbury Town,1
Monument,St. Pauls,1
Barkingside,Fairlop,6
St. Jamess Park,Westminster,1
Monument,Waterloo,5
Earls Court,Kensington (Olympia),0
Holborn,Tottenham Court Road,0
Kenton,South Kenton,2
Kennington,Oval,0
London Bridge,Southwark,0
Kilburn,West Hampstead,0
Sloane Square,Victoria,2
Aldgate East,Liverpool Street,5
Camden Town,Euston,23
Plaistow,Upton Park,1
Ruislip Gardens,West Ruislip,2
Bayswater,Paddington,4
Leyton,Stratford,6
Hanger Lane,Perivale,0
Monument,Cannon Street,1
Green Park,Hyde Park Corner,1
Camden Town,Kentish Town,3
Finchley Road,Swiss Cottage,1
Heathrow Terminal 4,Heathrow Terminals 1 2 3,0
Finchley Central,West Finchley,11
Green Park,Piccadilly Circus,3
Clapham Common,Clapham North,9
Finchley Central,Mill Hill East,7
Acton Town,South Ealing,7
Euston Square,Great Portland Street,1
Gants Hill,Newbury Park,12
Covent Garden,Holborn,0
Monument,Tower Hill,3
Eastcote,Rayners Lane,1
Bethnal Green,Liverpool Street,7
Chalfont and Latimer,Chesham,6
Acton Town,Ealing Common,13
Euston,Mornington Crescent,9
Seven Sisters,Tottenham Hale,12
Kennington,Nine Elms,0
Burnt Oak,Edgware,23
High Street Kensington,Notting Hill Gate,0
Covent Garden,Leicester Square,3
Stepney Green,Whitechapel,0
High Barnet,Totteridge and Whetstone,1
Earls Court,Gloucester Road,19
Belsize Park,Chalk Farm,4
Ruislip,Ruislip Manor,1
Latimer Road,Wood Lane,0
Kilburn,Willesden Green,1
Northfields,South Ealing,0
Chorleywood,Rickmansworth,3
Kingsbury,Wembley Park,2
North Wembley,Wembley Central,4
Liverpool Street,Moorgate,3
Hatton Cross,Heathrow Terminal 4,1
Edgware Road (Bakerloo),Marylebone,0
Boston Manor,Northfields,1
Canary Wharf,North Greenwich,14
Royal Oak,Westbourne Park,1
Bromley-by-Bow,West Ham,0
Elephant and Castle,Kennington,13
Caledonian Road,Kings Cross St. Pancras,1
Aldgate,Liverpool Street,2
South Woodford,Woodford,3
Harrow-on-the-Hill,North Harrow,2
Barking,East Ham,56
Alperton,Sudbury Town,4
North Harrow,Pinner,1
Morden,South Wimbledon,5
North Wembley,South Kenton,3
