Source Station,Target Station,Weight
Barons Court,Earls Court,21
Amersham,Chalfont and Latimer,1
Euston Square,Great Portland Street,3
Clapham North,Stockwell,14
Charing Cross,Leicester Square,6
Cockfosters,Oakwood,10
Barkingside,Newbury Park,18
Epping,Theydon Bois,8
Finchley Central,Mill Hill East,12
Debden,Loughton,10
Acton Town,Chiswick Park,9
Southwark,Waterloo,6
Barbican,Farringdon,4
Balham,Tooting Bec,20
Dagenham East,Elm Park,12
Ealing Common,North Ealing,0
Boston Manor,Northfields,6
Blackhorse Road,Walthamstow Central,73
Caledonian Road,Holloway Road,0
Fulham Broadway,Parsons Green,1
Leytonstone,Snaresbrook,14
Green Park,Piccadilly Circus,5
Hanger Lane,Perivale,6
St. Johns Wood,Swiss Cottage,1
Gants Hill,Redbridge,24
Roding Valley,Woodford,5
Hounslow Central,Hounslow East,18
Camden Town,Euston,18
Camden Town,Mornington Crescent,6
Ealing Broadway,Ealing Common,13
Kingsbury,Queensbury,24
Ruislip Gardens,South Ruislip,8
Pimlico,Victoria,15
North Wembley,South Kenton,18
Stockwell,Vauxhall,17
Moorgate,Old Street,2
Farringdon,Kings Cross St. Pancras,16
Ruislip Gardens,West Ruislip,3
Archway,Tufnell Park,11
Hatton Cross,Heathrow Terminal 4,7
Harrow-on-the-Hill,Northwick Park,10
Parsons Green,Putney Bridge,7
Chiswick Park,Turnham Green,7
Bow Road,Bromley-by-Bow,6
Blackfriars,Temple,1
Wimbledon,Wimbledon Park,41
Kenton,South Kenton,10
Elephant and Castle,Kennington,10
Paddington,Warwick Avenue,15
Finchley Central,West Finchley,12
Moor Park,Northwood,3
Dollis Hill,Willesden Green,6
East Finchley,Finchley Central,14
Borough,London Bridge,11
Tooting Bec,Tooting Broadway,30
Clapham Common,Clapham North,6
Baker Street,Great Portland Street,3
Hillingdon,Uxbridge,14
Brixton,Stockwell,32
Monument,Moorgate,20
Turnpike Lane,Wood Green,48
Northwood,Northwood Hills,4
Finchley Road,Wembley Park,21
Canning Town,North Greenwich,37
Oval,Stockwell,11
Canary Wharf,North Greenwich,28
Greenford,Perivale,20
North Harrow,Pinner,1
Sloane Square,South Kensington,0
Harrow-on-the-Hill,West Harrow,17
Highbury and Islington,Kings Cross St. Pancras,11
Leyton,Stratford,42
Chalfont and Latimer,Chesham,5
Blackhorse Road,Tottenham Hale,55
Burnt Oak,Colindale,40
Goodge Street,Warren Street,0
Bromley-by-Bow,West Ham,12
Earls Court,West Brompton,13
Holland Park,Notting Hill Gate,3
East Putney,Southfields,7
Elephant and Castle,Lambeth North,1
East Acton,North Acton,9
South Woodford,Woodford,8
Kings Cross St. Pancras,Russell Square,4
Maida Vale,Warwick Avenue,0
Snaresbrook,South Woodford,4
Hatton Cross,Heathrow Terminals 1 2 3,18
Finsbury Park,Manor House,28
Leicester Square,Piccadilly Circus,8
Dollis Hill,Neasden,5
Kilburn Park,Maida Vale,3
East Putney,Putney Bridge,8
Heathrow Terminal 4,Heathrow Terminals 1 2 3,13
Harrow-on-the-Hill,North Harrow,16
Canons Park,Stanmore,11
Acton Town,Ealing Common,8
Grange Hill,Hainault,13
Colindale,Hendon Central,39
Barons Court,West Kensington,5
East Finchley,Highgate,9
Stamford Brook,Turnham Green,8
Bethnal Green,Mile End,11
Dagenham East,Dagenham Heathway,29
Heathrow Terminal 5,Heathrow Terminals 1 2 3,17
Aldgate,Tower Hill,7
Edgware Road (Bakerloo),Paddington,13
Becontree,Dagenham Heathway,30
Plaistow,Upton Park,33
Holland Park,Shepherds Bush,5
Kennington,Oval,7
Totteridge and Whetstone,Woodside Park,8
Kilburn Park,Queens Park,4
Fairlop,Hainault,18
East Acton,White City,13
East Ham,Upton Park,42
Balham,Clapham South,14
Gunnersbury,Kew Gardens,7
Monument,Cannon Street,4
